i,x,Q,c,direction x,direction y,||direction||,alpha,"f(x,y)"
91,[0.48845327 0.84698841],"[[20  5]
 [ 5 16]]",[14 16],0.004585866440917741,-0.006773526129219221,0.00817990386478662,0.01,-0.19660814432732465
92,[0.48841319 0.8470476 ],"[[20  5]
 [ 5 16]]",[14 16],0.004007369459193555,-0.005919055270588558,0.007148022473297033,0.01,-0.19660862304231408
93,[0.48837817 0.84709933],"[[20  5]
 [ 5 16]]",[14 16],0.0035018483308864035,-0.005172374900254795,0.006246311218736839,0.01,-0.19660898859707743
94,[0.48834757 0.84714453],"[[20  5]
 [ 5 16]]",[14 16],0.0030600974097207967,-0.004519887332758543,0.00545834935285486,0.01,-0.19660926774080245
95,[0.48832083 0.84718402],"[[20  5]
 [ 5 16]]",[14 16],0.002674072294414742,-0.003949710230003234,0.004769787577738523,0.01,-0.1966094808996104
96,[0.48829746 0.84721854],"[[20  5]
 [ 5 16]]",[14 16],0.0023367433470298238,-0.0034514602079251944,0.004168086735755288,0.01,-0.1966096436712359
97,[0.48827704 0.8472487 ],"[[20  5]
 [ 5 16]]",[14 16],0.002041967688020563,-0.003016063742007802,0.0036422894633422733,0.01,-0.19660976796637186
98,[0.4882592  0.84727506],"[[20  5]
 [ 5 16]]",[14 16],0.001784377337516574,-0.002635591927687031,0.003182820650293035,0.01,-0.19660986288020865
99,[0.48824361 0.84729809],"[[20  5]
 [ 5 16]]",[14 16],0.001559281466398943,-0.0023031160861322064,0.002781313070773618,0.01,-0.19660993535800486
100,[0.48822998 0.84731821],"[[20  5]
 [ 5 16]]",[14 16],0.0013625809774246989,-0.0020125815856708584,0.002430455010696778,0.01,-0.19660999070325502
101,[0.48821807 0.8473358 ],"[[20  5]
 [ 5 16]]",[14 16],0.001190693861223835,-0.0017586975808345784,0.0021238571166605166,0.01,-0.1966100329658218
102,[0.48820767 0.84735117],"[[20  5]
 [ 5 16]]",[14 16],0.0010404899680196422,-0.0015368406609628238,0.0018559360416615022,0.01,-0.19661006523821456
103,[0.48819858 0.8473646 ],"[[20  5]
 [ 5 16]]",[14 16],0.0009092340074658978,-0.001342970653608333,0.0016218127687207574,0.01,-0.19661008988195405
104,[0.48819063 0.84737633],"[[20  5]
 [ 5 16]]",[14 16],0.0007945357386525131,-0.0011735570494053604,0.0014172237608102364,0.01,-0.19661010870032847
105,[0.48818369 0.84738659],"[[20  5]
 [ 5 16]]",[14 16],0.0006943064433908575,-0.0010255147084325955,0.0012384433190686013,0.01,-0.19661012307035364
106,[0.48817762 0.84739555],"[[20  5]
 [ 5 16]]",[14 16],0.0006067208901345822,-0.000896147677254433,0.0010822157354124062,0.01,-0.19661013404354222
107,[0.48817232 0.84740338],"[[20  5]
 [ 5 16]]",[14 16],0.0005301840959717197,-0.0007831000934004351,0.0009456960039595809,0.01,-0.19661014242285546
108,[0.48816769 0.84741022],"[[20  5]
 [ 5 16]]",[14 16],0.00046330228144775276,-0.0006843132832532461,0.0008263980116333354,0.01,-0.1966101488214349
109,[0.48816364 0.8474162 ],"[[20  5]
 [ 5 16]]",[14 16],0.00040485748932006516,-0.000597988272005523,0.0007221492644285515,0.01,-0.1966101537074998
110,[0.4881601  0.84742143],"[[20  5]
 [ 5 16]]",[14 16],0.00035378540505526246,-0.000522553022950234,0.0006310513248734558,0.01,-0.196610157438581
111,[0.48815701 0.847426  ],"[[20  5]
 [ 5 16]]",[14 16],0.00030915597519154403,-0.00045663380953087085,0.0005514452402580969,0.01,-0.19661016028769573
112,[0.48815431 0.84742999],"[[20  5]
 [ 5 16]]",[14 16],0.00027015647063066694,-0.00039903019876597057,0.0004818813320215138,0.01,-0.19661016246332608
113,[0.48815195 0.84743347],"[[20  5]
 [ 5 16]]",[14 16],0.00023607668644132218,-0.00034869319049590786,0.00042109279616176035,0.01,-0.19661016412467447
114,[0.48814988 0.84743652],"[[20  5]
 [ 5 16]]",[14 16],0.00020629600867749787,-0.00030470611433841555,0.000367972633916548,0.01,-0.19661016539330767
115,[0.48814808 0.84743918],"[[20  5]
 [ 5 16]]",[14 16],0.00018027211265980725,-0.00026626793647643865,0.00032155349259221396,0.01,-0.1966101663620563
116,[0.48814651 0.84744151],"[[20  5]
 [ 5 16]]",[14 16],0.00015753108695193418,-0.00023267867227261263,0.0002809900494444665,0.01,-0.196610167101813
117,[0.48814513 0.84744354],"[[20  5]
 [ 5 16]]",[14 16],0.00013765880317606616,-0.00020332663905797688,0.0002455436178003406,0.01,-0.1966101676666998
118,[0.48814393 0.84744532],"[[20  5]
 [ 5 16]]",[14 16],0.00012029337449348532,-0.0001776773169659407,0.00021456869508678394,0.01,-0.19661016809805787
119,[0.48814287 0.84744687],"[[20  5]
 [ 5 16]]",[14 16],0.00010511856544148657,-0.00015526361497641972,0.00018750120782550175,0.01,-0.1966101684274495
120,[0.48814196 0.84744823],"[[20  5]
 [ 5 16]]",[14 16],9.185803310174379e-05,-0.00013567736485242676,0.00016384823947366534,0.01,-0.19661016867897985
121,[0.48814115 0.84744941],"[[20  5]
 [ 5 16]]",[14 16],8.027029472401637e-05,-0.00011856188813119672,0.0001431790540977096,0.01,-0.19661016887105198
122,[0.48814045 0.84745045],"[[20  5]
 [ 5 16]]",[14 16],7.014433018603938e-05,-0.0001036055007652692,0.00012511725239178773,0.01,-0.19661016901772221
123,[0.48813984 0.84745136],"[[20  5]
 [ 5 16]]",[14 16],6.129573918656206e-05,-9.053583715257219e-05,0.00010933391720479107,0.01,-0.1966101691297215
124,[0.4881393  0.84745215],"[[20  5]
 [ 5 16]]",[14 16],5.356338320794407e-05,-7.911489016798612e-05,9.554162374051202e-05,0.01,-0.1966101692152442
125,[0.48813884 0.84745284],"[[20  5]
 [ 5 16]]",[14 16],4.6806451075909195e-05,-6.913467690061736e-05,8.348920536497061e-05,0.01,-0.19661016928055375
126,[0.48813843 0.84745344],"[[20  5]
 [ 5 16]]",[14 16],4.090189470495886e-05,-6.0413451150154174e-05,7.295717970376601e-05,0.01,-0.19661016933042497
127,[0.48813807 0.84745397],"[[20  5]
 [ 5 16]]",[14 16],3.574218832191889e-05,-5.279239370103994e-05,6.375375172274269e-05,0.01,-0.19661016936850473
128,[0.48813776 0.84745443],"[[20  5]
 [ 5 16]]",[14 16],3.123337034338647e-05,-4.61327201239925e-05,5.5711321013289175e-05,0.01,-0.19661016939758547
129,[0.48813748 0.84745483],"[[20  5]
 [ 5 16]]",[14 16],2.729333228046471e-05,-4.0313153421678294e-05,4.8683429683739715e-05,0.01,-0.1966101694197917
130,[0.48813725 0.84745519],"[[20  5]
 [ 5 16]]",[14 16],2.3850323495722137e-05,-3.522771548780668e-05,4.254209526269774e-05,0.01,-0.19661016943674525
131,[0.48813704 0.84745549],"[[20  5]
 [ 5 16]]",[14 16],2.0841644570168683e-05,-3.0783797184241735e-05,3.717548005701838e-05,0.01,-0.1966101694496949
132,[0.48813685 0.84745576],"[[20  5]
 [ 5 16]]",[14 16],1.8212505516146393e-05,-2.6900471862489894e-05,3.2485854515469856e-05,0.01,-0.1966101694595821
133,[0.4881367 0.847456 ],"[[20  5]
 [ 5 16]]",[14 16],1.591502800479816e-05,-2.3507021641222536e-05,2.8387817507417058e-05,0.01,-0.19661016946713517
134,[0.48813656 0.8474562 ],"[[20  5]
 [ 5 16]]",[14 16],1.3907373485722019e-05,-2.0541649577765497e-05,2.4806741112993402e-05,0.01,-0.19661016947289767
135,[0.48813644 0.84745638],"[[20  5]
 [ 5 16]]",[14 16],1.2152981268442886e-05,-1.7950354319395956e-05,2.1677411605239698e-05,0.01,-0.19661016947730303
